Epoch, Exe_time, Loss 
245, 0.00, 0.393 
246, 0.00, 0.393 
247, 0.00, 0.393 
248, 0.00, 0.393 
249, 0.00, 0.393 
250, 0.00, 0.393 
251, 0.00, 0.392 
252, 0.00, 0.393 
253, 0.00, 0.393 
254, 0.00, 0.393 
255, 0.00, 0.393 
256, 0.00, 0.393 
257, 0.00, 0.393 
258, 0.00, 0.392 
259, 0.00, 0.393 
260, 0.00, 0.393 
261, 0.00, 0.392 
262, 0.00, 0.393 
263, 0.00, 0.393 
264, 0.00, 0.392 
265, 0.00, 0.392 
266, 0.00, 0.393 
267, 0.00, 0.393 
268, 0.00, 0.393 
269, 0.00, 0.392 
270, 0.00, 0.393 
271, 0.00, 0.392 
272, 0.00, 0.392 
273, 0.00, 0.393 
274, 0.00, 0.393 
275, 0.00, 0.392 
276, 0.00, 0.393 
277, 0.00, 0.393 
278, 0.00, 0.393 
279, 0.00, 0.392 
280, 0.00, 0.393 
281, 0.00, 0.392 
282, 0.00, 0.392 
283, 0.00, 0.393 
284, 0.00, 0.392 
285, 0.00, 0.392 
286, 0.00, 0.392 
287, 0.00, 0.393 
288, 0.00, 0.392 
289, 0.00, 0.392 
290, 0.00, 0.392 
291, 0.00, 0.392 
292, 0.00, 0.392 
293, 0.00, 0.392 
294, 0.00, 0.392 
295, 0.00, 0.392 
296, 0.00, 0.392 
297, 0.00, 0.392 
298, 0.00, 0.392 
299, 0.00, 0.392 
300, 0.00, 0.392 
301, 0.00, 0.392 
302, 0.00, 0.392 
303, 0.00, 0.392 
304, 0.00, 0.392 
305, 0.00, 0.392 
306, 0.00, 0.392 
307, 0.00, 0.392 
308, 0.00, 0.392 
309, 0.00, 0.392 
310, 0.00, 0.392 
311, 0.00, 0.392 
312, 0.00, 0.392 
313, 0.00, 0.392 
314, 0.00, 0.392 
315, 0.00, 0.392 
316, 0.00, 0.392 
317, 0.00, 0.392 
318, 0.00, 0.392 
319, 0.00, 0.392 
320, 0.00, 0.392 
321, 0.00, 0.393 
322, 0.00, 0.392 
323, 0.00, 0.392 
324, 0.00, 0.392 
325, 0.00, 0.392 
326, 0.00, 0.392 
327, 0.00, 0.392 
328, 0.00, 0.392 
329, 0.00, 0.392 
330, 0.00, 0.392 
331, 0.00, 0.392 
332, 0.00, 0.392 
333, 0.00, 0.392 
334, 0.00, 0.392 
335, 0.00, 0.392 
336, 0.00, 0.392 
337, 0.00, 0.392 
338, 0.00, 0.392 
339, 0.00, 0.392 
340, 0.00, 0.392 
341, 0.00, 0.392 
342, 0.00, 0.392 
343, 0.00, 0.392 
344, 0.00, 0.392 
345, 0.00, 0.392 
346, 0.00, 0.392 
347, 0.00, 0.392 
348, 0.00, 0.392 
349, 0.00, 0.392 
350, 0.00, 0.392 
351, 0.00, 0.392 
352, 0.00, 0.392 
353, 0.00, 0.392 
354, 0.00, 0.392 
355, 0.00, 0.392 
356, 0.00, 0.392 
357, 0.00, 0.392 
358, 0.00, 0.392 
359, 0.00, 0.392 
360, 0.00, 0.392 
361, 0.00, 0.392 
362, 0.00, 0.392 
363, 0.00, 0.392 
364, 0.00, 0.392 
365, 0.00, 0.392 
366, 0.00, 0.392 
367, 0.00, 0.392 
368, 0.00, 0.392 
369, 0.00, 0.392 
370, 0.00, 0.392 
371, 0.00, 0.392 
372, 0.00, 0.392 
373, 0.00, 0.392 
374, 0.00, 0.392 
375, 0.00, 0.392 
376, 0.00, 0.392 
377, 0.00, 0.392 
378, 0.00, 0.392 
379, 0.00, 0.392 
380, 0.00, 0.392 
381, 0.00, 0.392 
382, 0.00, 0.392 
383, 0.00, 0.392 
384, 0.00, 0.392 
385, 0.00, 0.392 
386, 0.00, 0.392 
387, 0.00, 0.392 
388, 0.00, 0.392 
389, 0.00, 0.392 
390, 0.00, 0.392 
391, 0.00, 0.392 
392, 0.00, 0.392 
393, 0.00, 0.392 
394, 0.00, 0.392 
395, 0.00, 0.392 
396, 0.00, 0.392 
397, 0.00, 0.392 
398, 0.00, 0.392 
399, 0.00, 0.392 
400, 0.00, 0.392 
